Qui était le premier président de la V éme république ?;Charles de Gaulle
Quel était le prénom de l’époux de Marie Curie ?;Pierre
Combien de satellites naturels gravitent autour de la Terre ?;1
Quelle est la somme des angles d’un triangle en degrés ?;180
À quel scientifique doit-on l’œuvre « Canon de la médecine » ?;Avicenne
En quelle année aura lieu la prochaine apparition de la comète Haley ?;2061
Quel est le nom de l’unité de résistance électrique ?;Ohm
Combien font 122 x 12 ?;1464
Quel métal alcalin est symbolisé par la lettre K ?;Potassium
Quel physicien français a posé les bases de la thermodynamique ?;Sadi Carnot
Qui a découvert la bakélite ?;Leo Baekeland
Dans quelle ville siège l’Organisation mondiale du commerce, OMC ?;Genève
En quelle année a été signé le Traité de Rome instituant la Communauté économique européenne ?;1957
Dans quelle ville siège la Banque centrale européenne ?;Francfort
Quelle monnaie circule en Afrique du Sud ?;Rand
En quelle année sommes-nous passés définitivement à l’euro en France ?;2002
Combien de pièces de monnaie de l’euro circulent au sein de l’Europe ?;8